state,party,year,sd
CO,R,1998,0.40065060470599817
CO,R,1999,0.4210644365843517
CO,R,2e3,0.4260967859361946
CO,R,2001,0.43526265240263434
CO,R,2002,0.4272659115342098
CO,R,2003,0.4446252640109707
CO,R,2004,0.45206221916899897
CO,R,2005,0.48529944541915343
CO,R,2006,0.47598762299179515
CO,R,2007,0.5617899799199532
CO,R,2008,0.578730944970689
CO,R,2009,0.4948093419694953
CO,R,2010,0.4948093419694953
CO,R,2011,0.6280741729021077
CO,R,2012,0.6280741729021077
CO,R,2013,0.7201634551380695
CO,R,2014,0.723235260049806
CO,R,2015,0.7680357014551324
CO,R,2016,0.7948348961242042
CT,D,1996,0.16984085921920397
CT,D,1997,0.1749634498171827
CT,D,1998,0.1749634498171827
CT,D,1999,0.16359828012168084
CT,D,2e3,0.16359828012168084
CT,D,2001,0.162573705118508
CT,D,2002,0.1673004709370466
CT,D,2003,0.18342036729968375
CT,D,2004,0.17976061287036624
CT,D,2005,0.1737398508282469
CT,D,2006,0.17297949946632846
CT,D,2007,0.17194592460270808
CT,D,2008,0.17194592460270808
CT,D,2011,0.19770846201250525
CT,D,2012,0.1924774590780533
CT,D,2013,0.1916248702780798
CT,D,2014,0.19229669944790187
CT,D,2015,0.18994647685626367
CT,D,2016,0.18941385658073115
CT,R,1996,0.21407647191366394
CT,R,1997,0.20637981558967508
CT,R,1998,0.20566529990133978
CT,R,1999,0.20227411311143312
CT,R,2e3,0.2018238022088751
CT,R,2001,0.21907773712077816
CT,R,2002,0.21393375188613517
CT,R,2003,0.19211821766396517
CT,R,2004,0.1747850888168876
CT,R,2005,0.18557442515062497
CT,R,2006,0.18557442515062497
CT,R,2007,0.16118734942966714
CT,R,2008,0.1629970557069458
CT,R,2011,0.1896545909708483
CT,R,2012,0.1896545909708483
CT,R,2013,0.20053164256090597
CT,R,2014,0.2225832612217294
CT,R,2015,0.3068805903300361
CT,R,2016,0.30440649017378174
DE,D,1995,0.23109795902747965
DE,D,1996,0.23109795902747965
DE,D,1997,0.18010894139167763
DE,D,1998,0.18010894139167763
DE,D,1999,0.18440057328699233
DE,D,2e3,0.18440057328699233
DE,D,2001,0.18440057328699233
DE,D,2002,0.18440057328699233
DE,D,2003,0.1920409323476891
DE,D,2004,0.1920409323476891
DE,D,2005,0.17688206994115221
DE,D,2006,0.17688206994115221
DE,D,2007,0.20530546347658005
DE,D,2008,0.20530546347658005
DE,D,2009,0.21552752522690644
DE,D,2010,0.21778388103939125
DE,D,2011,0.21040473817420047
DE,D,2012,0.21040473817420047
DE,D,2013,0.23510378383554184
DE,D,2014,0.23510378383554184
DE,D,2015,0.27632182324239246
DE,D,2016,0.27632182324239246
DE,R,1995,0.17077363768344142
DE,R,1996,0.17077363768344142
DE,R,1997,0.16551255106004667
DE,R,1998,0.16551255106004667
DE,R,1999,0.1506734880461722
DE,R,2e3,0.1506734880461722
DE,R,2001,0.1523309664294602
DE,R,2002,0.1523309664294602
DE,R,2003,0.2224458884322731
DE,R,2004,0.2224458884322731
DE,R,2005,0.22598437999118431
DE,R,2006,0.22598437999118431
DE,R,2007,0.3453198437194178
DE,R,2008,0.3453198437194178
DE,R,2009,0.3094789026354956
DE,R,2010,0.32617456306130815
DE,R,2011,0.32808441132181354
DE,R,2012,0.32808441132181354
DE,R,2013,0.3169488207030513
DE,R,2014,0.3169488207030513
DE,R,2015,0.3654860177444093
DE,R,2016,0.3654860177444093
FL,D,1996,0.4503158211720016
FL,D,1997,0.4716167840285624
FL,D,1998,0.4753479228930554
FL,D,1999,0.42029495942012984
FL,D,2e3,0.40161758254426017
FL,D,2001,0.22573655251341618
FL,D,2002,0.22573655251341618
FL,D,2003,0.21674156081272403
FL,D,2004,0.21674156081272403
FL,D,2005,0.2221014926016325
FL,D,2006,0.21706823076333093
FL,D,2007,0.18027038667309161
FL,D,2008,0.17560112341740455
FL,D,2010,0.2663975345342364
FL,D,2011,0.3110678942253825
FL,D,2012,0.3110678942253825
FL,D,2013,0.28012750041808865
FL,D,2014,0.2785980994373454
FL,D,2015,0.28976251153387383
FL,D,2016,0.2939148438501115
FL,R,1996,0.27620245660691123
FL,R,1997,0.26958477433872585
FL,R,1998,0.26510625920813086
FL,R,1999,0.23787228612288422
FL,R,2e3,0.23504674022434363
FL,R,2001,0.1566001739806581
FL,R,2002,0.15672441647821647
FL,R,2003,0.1514059113773303
FL,R,2004,0.1558989266045655
FL,R,2005,0.15406963345889446
FL,R,2006,0.1530940823459229
FL,R,2007,0.1658418591099401
FL,R,2008,0.16802182397930734
FL,R,2010,0.21644993221965841
FL,R,2011,0.20075982595143224
FL,R,2012,0.2008512724430077
FL,R,2013,0.1966904398358167
FL,R,2014,0.1945274357082909
FL,R,2015,0.21121101093276484
FL,R,2016,0.21536111941199126
GA,D,1993,0.2596467144466874
GA,D,1994,0.261732070865019
GA,D,1995,0.2708354760165083
GA,D,1996,0.26950667797897393
GA,D,1997,0.26746878266273905
GA,D,1998,0.2677674589624511
GA,D,1999,0.2682541164928077
GA,D,2e3,0.2674774561992839
GA,D,2001,0.2793496174889252
GA,D,2002,0.2803254264041075
GA,D,2003,0.3146208633127631
GA,D,2004,0.3146208633127631
GA,D,2005,0.3306929761038847
GA,D,2006,0.3306929761038847
GA,D,2007,0.3510225442129377
GA,D,2008,0.3510225442129377
GA,D,2009,0.3621426238376256
GA,D,2010,0.3716829971636011
GA,D,2011,0.42796034546633716
GA,D,2012,0.4283709451709659
GA,D,2013,0.34104626779904956
GA,D,2014,0.3481604973584797
GA,D,2015,0.3570748485368678
GA,D,2016,0.35095196925252065
GA,R,1993,0.3036254166982046
GA,R,1994,0.3034837692365858
GA,R,1995,0.3167895630741759
GA,R,1996,0.3197106215026066
GA,R,1997,0.32647514960563734
GA,R,1998,0.3249843728297975
GA,R,1999,0.3363055902746043
GA,R,2e3,0.3363055902746043
GA,R,2001,0.27645443591148094
GA,R,2002,0.2827477741447027
GA,R,2003,0.26579937565500705
GA,R,2004,0.26579937565500705
GA,R,2005,0.29094045629460147
GA,R,2006,0.29094045629460147
GA,R,2007,0.28186655020360846
GA,R,2008,0.28186655020360846
GA,R,2009,0.281235654904821
GA,R,2010,0.2823922133534968
GA,R,2011,0.28150449625058444
GA,R,2012,0.27823941086997944
GA,R,2013,0.32357508918660055
GA,R,2014,0.3304373398675366
GA,R,2015,0.3339330843146364
GA,R,2016,0.33415786561186234
HI,D,1996,0.17563401996794262
HI,D,1997,0.18250922369607253
HI,D,1998,0.18250922369607253
HI,D,1999,0.17986000328790738
HI,D,2e3,0.17962661828721532
HI,D,2001,0.1634325814192349
HI,D,2002,0.1634325814192349
HI,D,2003,0.15531825749444625
HI,D,2004,0.15531825749444625
HI,D,2005,0.14366209931811455
HI,D,2006,0.16222886609414736
HI,D,2007,0.16157966057324
HI,D,2008,0.16157966057324
HI,D,2011,0.16524815642533033
HI,D,2012,0.1699972934257477
HI,D,2013,0.18498359000578557
HI,D,2014,0.18498359000578557
HI,R,1996,0.19582621061008343
HI,R,1997,0.06826729994971416
HI,R,1998,0.06826729994971416
HI,R,1999,0.07332425908045011
HI,R,2e3,0.07332425908045011
HI,R,2001,0.07212351329206478
HI,R,2002,0.07212351329206478
HI,R,2003,0.05993385242637642
HI,R,2004,0.05993385242637642
HI,R,2005,0.06068644366285146
HI,R,2006,0.06692899901455952
HI,R,2007,0.11175858867602588
HI,R,2008,0.06597402086102853
HI,R,2011,0.04456792568652932
HI,R,2012,0.04456792568652932
HI,R,2013,0.060210741012989816
HI,R,2014,0.060210741012989816
IA,D,1993,0.1695012804719559
IA,D,1994,0.16627188945967322
IA,D,1995,0.16933464566420608
IA,D,1996,0.17002587685055118
IA,D,1997,0.1664592346840337
IA,D,1998,0.1664592346840337
IA,D,1999,0.27380126797265625
IA,D,2e3,0.27656837063620204
IA,D,2001,0.17724698043092754
IA,D,2002,0.18213181313898424
IA,D,2003,0.19147198808761093
IA,D,2004,0.1899589136863255
IA,D,2005,0.1999486519968918
IA,D,2006,0.2020645567792209
IA,D,2007,0.1954323572004618
IA,D,2008,0.19358105379540497
IA,D,2009,0.1874380014457178
IA,D,2010,0.168749194322271
IA,D,2011,0.18375569064971523
IA,D,2012,0.18375569064971523
IA,D,2013,0.19913713263683297
IA,D,2014,0.1964434208018131
IA,D,2015,0.17668336075244157
IA,D,2016,0.17668336075244157
IA,R,1993,0.20710878073810277
IA,R,1994,0.20710878073810277
IA,R,1995,0.18596287942576484
IA,R,1996,0.18644179729556845
IA,R,1997,0.1590982768765939
IA,R,1998,0.1590982768765939
IA,R,1999,0.16166682286777834
IA,R,2e3,0.1599731416851156
IA,R,2001,0.1698150385211068
IA,R,2002,0.17116939282173382
IA,R,2003,0.18046163586813133
IA,R,2004,0.1821561482191368
IA,R,2005,0.20679086267133215
IA,R,2006,0.20679086267133215
IA,R,2007,0.193708442948585
IA,R,2008,0.193708442948585
IA,R,2009,0.1736704530095669
IA,R,2010,0.1824598814834411
IA,R,2011,0.18335564142653984
IA,R,2012,0.18335564142653984
IA,R,2013,0.1644545697608901
IA,R,2014,0.16366436149040192
IA,R,2015,0.1799724289661334
IA,R,2016,0.19164215818023955
ID,D,1996,0.40681380596935585
ID,D,1997,0.40360018720400903
ID,D,1998,0.3847407627811934
ID,D,1999,0.4527000729628901
ID,D,2e3,0.4697563198084726
ID,D,2001,0.33763223746819226
ID,D,2002,0.35307120780060464
ID,D,2003,0.38305343404456427
ID,D,2004,0.38274395270641876
ID,D,2005,0.29530138884944357
ID,D,2006,0.29530138884944357
ID,D,2007,0.3156197745789435
ID,D,2008,0.3202704288863516
ID,D,2009,0.30174994488775986
ID,D,2010,0.30184299364149153
ID,D,2011,0.22672317357495117
ID,D,2012,0.22672317357495117
ID,D,2013,0.2723075655511801
ID,D,2014,0.37741767653900704
ID,D,2015,0.37648101684408475
ID,D,2016,0.37648101684408475
ID,R,1996,0.44942928311301716
ID,R,1997,0.417175882789122
ID,R,1998,0.417175882789122
ID,R,1999,0.42941634304605103
ID,R,2e3,0.4270345915113288
ID,R,2001,0.40188576770056816
ID,R,2002,0.4062149878985789
ID,R,2003,0.4270146095603041
ID,R,2004,0.4278504285009116
ID,R,2005,0.41559740269619044
ID,R,2006,0.40243989962107074
ID,R,2007,0.36862462335169155
ID,R,2008,0.3666663108732677
ID,R,2009,0.3495264216865637
ID,R,2010,0.3753972638737605
ID,R,2011,0.3884774534378718
ID,R,2012,0.38969988291872393
ID,R,2013,0.34652344888415043
ID,R,2014,0.34523477990802914
ID,R,2015,0.39168581366112387
ID,R,2016,0.3904999821241495
IL,D,1996,0.37445188045249655
IL,D,1997,0.42218428757782495
IL,D,1998,0.42846781466379125
IL,D,1999,0.46291842974346337
IL,D,2e3,0.46291842974346337
IL,D,2001,0.5065619195768515
IL,D,2002,0.5065619195768515
IL,D,2003,0.5705147466135303
IL,D,2004,0.5705147466135303
IL,D,2005,0.585630215546136
IL,D,2006,0.585630215546136
IL,D,2007,0.6017278470079326
IL,D,2008,0.6017278470079326
IL,D,2009,0.5815260761730041
IL,D,2010,0.5750705031590505
IL,D,2011,0.6054761050376126
IL,D,2012,0.5971663939355896
IL,D,2013,0.6141842408350615
IL,D,2014,0.6156842211083257
